编码:  --------------------------- 000300 --------------  美联储突然宣布缩表.

缺口: 

日期        总成交量 总成交额  O        C        H        L        涨跌幅 沪股通   深港通
03.06(周二) 1.39亿   1713.71亿 4034.99  4066.56  4067.55  3998.93  +1.21% +7.19亿  +4.20亿  高开震荡大涨.

03.05(周一) 8795万   1181.98亿 4021.66  4018.10  4018.10  3995.87  +0.04% -12.3亿  -0.55亿  高开震荡微涨.

03.02(周五) 9616万   1309.31亿 4014.95  4016.46  4044.42  4006.94  -0.81% -8.30亿  -1.20亿  大幅低开震荡大跌. 受欧美股市大跌影响普跌

03.01(周四) 1.10亿   1460.03亿 3994.87  4049.09  4061.03  3986.89  +0.63% +5.53亿  +8.32亿  大幅低开震荡收涨.

02.28(周三) 1.09亿   1524.94亿 4016.79  4023.64  4051.71  3991.71  -0.87% -6.00亿  +2.45亿  大幅低开震荡大跌!

02.27(周二) 1.26亿   1696.85亿 4120.87  4058.98  4120.87  4051.81  -1.44% +17.0亿  +9.93亿  微幅高开震荡大跌.八二行情!

02.26(周一) 1.38亿   1790.13亿 4093.40  4118.42  4128.74  4048.98  +1.16% +21.0亿  +13.0亿  大幅高开震荡大涨.红色星期一!

02.23(周五) 9946万   1281.96亿 4061.75  4071.09  4085.20  4035.23  +0.45% +12.4亿  +6.87亿  高开震荡收涨.

02.22(周四) 1.06亿   1383.34亿 4020.97  4052.73  4058.79  4009.92  +2.16% +11.3亿  +14.0亿  大幅高开震荡暴涨.红色星期四!节后首个交易日.上行缺口:3971.40

02.14(周三) 7108万   931.10亿  3945.09  3966.96  3971.40  3923.13  +0.80% +4.51亿  +8.02亿  高开震荡收涨. 除夕前一交易日极度缩量!

02.13(周二) 1.13亿   1444.79亿 3925.60  3935.63  3986.98  3925.60  +1.17% +0.38亿  -8.39亿  大幅高开震荡大涨.

02.12(周一) 1.16亿   1498.58亿 3846.27  3890.10  3907.84  3828.07  +1.29% -12.2亿  +1.10亿  高开震荡大涨. 红色星期一!

02.09(周五) 2.06亿   2467.75亿 3896.17  3840.65  3911.29  3759.15  -4.27% -20.0亿  -4.67亿  大幅低开震荡暴跌. 黑色星期五!

02.08(周四) 1.59亿   1990.62亿 4022.88  4012.05  4071.67  3974.68  -0.95% +13.5亿  +17.1亿   低开震荡大跌.九一行情!

02.07(周三) 2.03亿   2615.07亿 4205.74  4050.50  4212.57  4048.42  -2.37% -1.59亿  +19.6亿  大幅高开震荡下跌暴跌. 银行、地产暴跌!补:4087.78缺口.

