编码:  --------------------------- 000300 --------------  美联储突然宣布缩表.

缺口: 

日期        总成交量 总成交额  O        C        H        L        涨跌幅 沪股通   深港通
08.11(周五) 1.50亿   1610.83亿 3687.93  3647.35  3700.49  3645.09  -1.85% -7.32亿  -0.91亿  低开震荡大涨.RMB大涨,美股，港股,A50大跌！

08.10(周四) 1.30亿   1480.05亿 3724.96  3715.92  3746.86  3688.18  -0.41% -4.37亿  +2.48亿  低开震荡收跌

08.09(周三) 1.25亿   1372.24亿 3728.03  3731.04  3739.00  3713.57  -0.03% +7.47亿  +5.71亿  低开震荡微跌

08.08(周二) 1.37亿   1464.82亿 3724.33  3732.21  3737.33  3718.81  +0.15% +10.5亿  +8.65亿  低开震荡微涨. 今天是创业板行情

08.07(周一) 1.24亿   1343.49亿 3701.22  3726.79  3730.78  3689.96  +0.52% +16.2亿  +13.2亿  低开震荡收涨

08.04(周五) 1.57亿   1682.93亿 3724.72  3707.58  3738.73  3707.00  -0.54% +20.8亿  +8.69亿  微幅低开震荡收跌

08.03(周四) 1.46亿   1647.10亿 3755.11  3727.83  3766.35  3718.44  -0.88% +13.2亿  +11.8亿  低开震荡收跌

08.02(周三) 1.72亿   1893.37亿 3768.19  3760.85  3784.35  3759.28  -0.25% +1.74亿  +1.97亿  低开震荡收跌

08.01(周二) 1.53亿   1731.28亿 3738.74  3770.38  3770.40  3737.10  +0.87% +9.69亿  +6.35亿  微幅高开冲高震荡收涨

07.28(周五) 1.11亿   1258.18亿 3703.49  3721.89  3725.54  3696.78  +0.26% +14.6亿  +9.40亿  低开震荡收涨

07.27(周四) 1.45亿   1616.31亿 3700.86  3712.19  3716.69  3672.50  +0.18% +15.1亿  +13.3亿  低开震荡微涨. 91现象.

07.26(周三) 1.36亿   1465.18亿 3722.88  3705.39  3738.53  3684.18  -0.38% +13.0亿  +5.89亿  高开回落震荡收跌

07.25(周二) 1.22亿   1335.32亿 3742.64  3719.56  3752.16  3713.28  -0.64% +0.32亿  +12.9亿  微幅低开震荡收跌

07.24(周一) 1.35亿   1547.02亿 3724.38  3743.47  3755.19  3719.85  +0.40% +2.07亿  +14.9亿  低开震荡收涨

07.21(周五) 1.18亿   1414.33亿 3738.18  3728.60  3751.69  3722.07  -0.51% +3.82亿  +12.2亿  低开震荡收跌

07.20(周四) 1.42亿   1692.67亿 3725.14  3747.88  3750.19  3723.07  +0.49% -1.90亿  +3.97亿  低开震荡收涨

07.19(周三) 1.82亿   1983.92亿 3660.87  3729.75  3731.05  3658.20  +1.71% +7.54亿  +11.1亿  低开震荡攀升大涨. 放量

07.18(周二) 1.25亿   1414.72亿 3648.49  3667.18  3667.54  3622.04  +0.10% +11.3亿  +9.69亿  低开震荡微涨

07.17(周一) 1.79亿   1962.17亿 3700.62  3663.56  3716.47  3621.37  -1.07% +0.75亿  +13.7亿  低开下探震荡收跌.创业板崩盘, 权重股放量拉指数.量能巨大！

07.14(周五) 1.06亿   1210.21亿 3682.62  3703.09  3703.09  3672.74  +0.44% -0.85亿  +2.67亿  低开回落震荡攀升收涨

07.13(周四) 1.26亿   1463.89亿 3656.35  3686.92  3690.48  3652.57  +0.77% +7.90亿  +6.52亿  低开拉升震荡收涨. 属于蓝筹行情.!!!

07.12(周三) 1.22亿   1434.95亿 3672.63  3658.82  3691.58  3640.59  -0.33% +6.05亿  +10.8亿  微幅高开震荡回落收跌

07.11(周二) 1.19亿   1450.84亿 3646.88  3670.81  3701.21  3645.99  +0.47% +1.63亿  +7.54亿  低开震荡冲高跳水收涨

07.10(周一) 1.21亿   1410.35亿 3647.94  3653.69  3667.85  3641.53  -0.06% +1.26亿  +8.95亿  低开回落震荡微跌

07.07(周五) 1.04万   1234.65亿 3647.64  3655.93  3657.11  3631.87  -0.11% -1.28亿  +4.82亿  低开震荡收跌

07.06(周四) 1.02亿   1328.37亿 3654.56  36560.10 3666.77  3629.56  +0.01% -8.12亿  -1.97亿  低开震荡微涨.早盘尾盘跳水,午后攀升.量能放大.

07.05(周三) 8823万   1203.52亿 3611.90  3659.68  3660.73  3610.46  +1.10% +3.41亿  +3.39亿  低开震荡攀升大涨.

07.04(周二) 9507万   1253.50亿 3646.83  3619.98  3646.85  3611.69  -0.85% -3.11亿  -2.02亿  低开震荡收跌

07.03(周一) 8882万   1152.15亿 3667.23  3650.85  3667.60  3633.78  -0.43% +1.79亿  +3.22亿  微幅高开回落震荡收跌

06.30(周五) 8151万   1024.60亿 3654.73  3666.80  3669.76  3646.23  -0.06% -9.61亿  -1.12亿  低开震荡微跌

06.29(周四) 8558万   1118.47亿 3649.25  3668.83  3669.13  3644.73  +0.62% +22.2亿  +10.2亿  高开震荡收涨

06.28(周三) 9792万   1244.66亿 3664.16  3646.17  3672.19  3644.03  -0.78% -7.16亿  +4.02亿  低开震荡收跌

06.27(周二) 9755万   1230.57亿 3665.58  3574.72  3676.53  3648.76  +0.18% +19.9亿  +7.50亿  低开震荡微涨. 今日19行情！！！

06.26(周一) 1.35亿   1707.37亿 3627.02  3668.09  3671.94  3627.02  +1.25% -2.47亿  +4.76亿  高开震荡大涨. 万科涨停, 茅台创新高, 有缺口, 非常强势

06.23(周五) 1.05亿   1339.75亿 3583.44  3622.88  3623.24  3569.32  +0.91% +5.85亿  +10.6亿  低开震荡收涨.早盘尾盘跳水

06.22(周四) 1.36亿   1694.19亿 3583.56  3590.34  3635.53  3581.34  +0.07% +4.91亿  +12.8亿  低开震荡微涨. 今日19行情！！！金融暴涨.放量了

06.21(周三) 8785万   1171.48亿 3567.13  3587.96  3587.99  3545.57  +1.17% +4.77亿  +10.5亿  高开震荡大涨.MSCI纳入A股, 大部分标的是沪深300的成分股

06.20(周二) 8050万   981.88亿  3560.79  3546.49  3563.70  3539.51  -0.20% -0.93亿  +4.94亿  高开震荡收跌

06.19(周一) 7979万   985.72亿  3520.06  3553.67  3554.91  3520.06  +0.99% +12.0亿  +11.9亿  微幅高开震荡收涨

06.16(周五) 7645万   914.62亿  3522.97  3518.76  3536.14  3514.39  -0.28% +6.53亿  +4.89亿  低开震荡收跌

06.15(周四) 8263万   1060.54亿 3530.75  3528.79  3542.28  3508.95  -0.18% +14.3亿  +8.69亿  低开震荡微跌. 今日91行情！！！

06.14(周三) 8381万   1061.05亿 3571.25  3535.30  3571.25  3571.25  -1.31% -10.1亿  -2.58亿  低开震荡大跌

06.13(周二) 7517万   942.23亿  3569.16  3582.27  3584.41  3559.21  +0.22% -0.96亿  +6.97亿  低开震荡微涨. 

06.12(周一) 9038万   1176.91亿 3570.22  3574.39  3603.69  3565.90  -0.05% -10.2亿  +20.98  低开拉升震荡回落微跌. 

06.09(周五) 1.01亿   1217.01亿 3561.24  3576.17  3590.89  3560.63  +0.43% +9.03亿  +5.64亿  微幅低开震荡收涨

06.08(周四) 9022万   1120.36亿 3531.24  3560.98  3562.27  3528.18  +0.77% +10.3亿  +13.9亿  低开震荡攀升收涨.

06.07(周三) 1.04亿   1241.89亿 3493.88  3533.87  3537.09  3491.13  +1.17% +5.74亿  +18.1亿  平开震荡大涨.普涨

06.06(周二) 6408万   778.69亿  3464.38  3492.88  3492.88  3460.45  +0.70% +8.93亿  +12.3亿  低开震荡收涨. 

06.05(周一) 7973亿   856.09亿  3480.17  3468.75  3484.12  3462.31  -0.51% +8.71亿  +10.2亿  低开震荡收跌. 91行情

06.02(周五) 8266亿   928.51亿  3491.59  3486.51  3498.12  3470.20  -0.32% +7.04亿  +10.3亿  低开震荡收跌. 今日91行情！！！

06.01(周四) 1.03亿   1160.89亿 3485.22  3497.74  3499.81  3476.43  +0.14% -18.7亿  +2.66亿  低开震荡微涨. 今日19行情！！！

05.31(周三) 1.05亿   1159.69亿 3495.07  3492.88  3515.08  3474.92  +0.36% -13.3亿  -2.14亿  高开震荡回落收涨

05.26(周五) 1.03亿   1125.86亿 3479.62  3480.43  3498.31  3473.04  -0.15% -3.00亿  +3.44亿  低开震荡收跌

05.25(周四) 1.31亿   1366.34亿 3414.40  3485.66  3490.42  3413.22  +1.80% +10.7亿  +6.00亿  低开盘升大涨！！ 权重股今日大涨！！

05.24(周三) 8355万   926.20亿  3409.72  3424.17  3424.17  3383.89  -0.00% +3.51亿  +8.45亿  低开震荡探底反弹收平

05.23(周二) 1.17亿   1267.68亿 3405.03  3424.19  3434.77  3401.53  +0.38% -2.72亿  +6.62亿  低开震荡收涨. 权重撑指数！！！！

05.22(周一) 9253万   990.21亿  3400.59  3411.24  3424.18  3391.17  +0.22% +0.85亿  +5.59亿  低开反弹震荡回跌,尾盘反弹微涨.

05.19(周五) 7147万   793.97亿  3395.23  3403.85  3405.94  3392.38  +0.17% +3.88亿  +9.83亿  低开震荡微涨。 缩量了。。

05.18(周四) 8575万   880.91亿  3387.67  3398.11  3409.93  3383.94  -0.35% +1.66亿  +8.45亿  低开震荡收跌

05.17(周三) 9973万   1105.53亿 3423.19  3409.97  3433.97  3408.15  -0.54% +6.00亿  +9.54亿  低开震荡收跌

05.16(周二) 1.05亿   1128.14亿 3390.93  3428.65  3428.85  3373.55  +0.87% +16.5亿  +15.1亿  低开震荡探底攀升收涨

05.15(周一) 8297万   921.83亿  3391.59  3399.19  3406.58  3391.59  +0.41% +8.81亿  +8.76亿  高开震荡收涨

05.12(周五) 9338万   975.22亿  3350.94  3385.38  3387.27  3349.17  +0.86% -3.87亿  +6.76亿  低开震荡收涨. 28现象。

05.11(周四) 1.09亿   1115.76亿 3322.95  3356.65  3359.60  3312.89  +0.57% +14.1亿  +9.61亿  低开震荡反弹收涨

05.10(周三) 9208万   1021.95亿 3350.65  3337.70  3369.43  3336.00  -0.44% +11.5亿  +11.3亿  低开震荡收跌

05.09(周二) 7677万   855.29亿  3342.60  3352.53  3358.05  3327.59  -0.19% +11.4亿  +11.4亿  低开震荡收跌！！ 大幅缩量！！！

05.08(周一) 1.24亿   1268.85亿 3369.11  3358.81  3374.16  3339.57  -0.70% -5.70亿  +8.87亿  低开震荡收跌

05.05(周五) 1.10亿   1174.65亿 3393.48  3382.55  3395.45  3366.56  -0.64% -7.74亿  +5.77亿  低开震荡收跌

05.04(周四) 1.03亿   1069.86亿 3404.94  3404.39  3421.40  3391.28  -0.26% -5.00亿  +16.8亿  低开震荡收跌

05.03(周三) 9166万   978.54亿  3421.76  3413.13  3432.22  3403.08  -0.39% +7.95亿  +9.72亿  低开震荡收跌。 佛诞港股停盘

05.02(周二) 9279万   1016.36亿 3427.92  3426.58  3436.31  3418.67  -0.38% +7.95亿  +9.72亿  低开震荡收跌

04.28(周五) 1.02亿   1137.61亿 3439.57  3439.75  3439.90  3417.24  -0.20% +7.95亿  +9.72亿  低开探底震荡微跌

04.27(周四) 1.23亿   1346.11亿 3435.10  3446.72  3449.27  3399.54  +0.04% +2.31亿  +6.73亿  低开探底震荡微涨

04.26(周三) 1.12亿   1313.17亿 3440.25  3445.18  3466.57  3439.15  +0.12% +4.20亿  +7.26亿  平开震荡微涨

04.25(周二) 9407万   1075.99亿 3427.73  3440.97  3449.67  3422.65  +0.28% +8.00亿  +7.92亿  低开震荡收涨

04.24(周一) 1.15亿   1227.78亿 3458.23  3431.26  3458.23  3403.98  -1.02% +0.50亿  +4.17亿  低开下跌震荡大跌 ！！！！！

04.21(周五) 1.04亿   1152.09亿 3461.39  3466.79  3475.56  3449.54  +0.15% +0.81亿  +6.50亿  平开震荡微涨. 

04.20(周四) 1.14亿   1339.77亿 3444.52  3461.55  3465.61  3440.72  +0.45% +9.30亿  +8.19亿  低开震荡收涨. 

04.19(周三) 1.21亿   1270.50亿 3452.99  3445.88  3459.35  3418.51  -0.49% +4.51亿  +7.75亿  低开震荡收跌. 

04.18(周二) 1.11亿   1267.91亿 3474.89  3462.74  3489.08  3462.63  -0.49% -5.27亿  +6.49亿  低开震荡收跌. 

04.17(周一) 1.17亿   1238.84亿 3475.74  3479.94  3480.57  3453.68  -0.19% -3.98亿  +2.02亿  低开震荡微跌. 盘中跌幅很大, 尾盘收回来了

04.13(周四) 1.30亿   1333.46亿 3500.28  3514.57  3518.44  3496.57  +0.15% -3.98亿  +2.02亿  低开震荡微涨. ??????

04.12(周三) 1.82亿   2021.55亿 3514.57  3509.44  3523.10  3498.00  -0.22% -3.98亿  +2.02亿  低开震荡收跌

04.11(周二) 1.66亿   1894.57亿 3503.83  3517.33  3520.13  3466.14  +0.35% -6.34亿  +2.71亿  微幅低开下探反弹收涨

04.10(周一) 1.42亿   1557.48亿 3519.46  3505.14  3522.80  3502.80  -0.35% +1.47亿  +7.98亿  微幅高开震荡收跌

04.07(周五) 1.40亿   1445.60亿 3514.45  3517.46  3526.82  3506.39  +0.10% +0.70亿  +5.77亿  平开震荡微涨

04.06(周四) 1.37亿   1452.22亿 3507.99  3514.05  3517.78  3495.72  +0.29% -0.17亿  +1.66亿  高开震荡微涨

04.05(周三) 1.43亿   1607.43亿 3476.42  3503.89  3504.54  3475.15  +1.38% +7.65亿  +10.7亿  高开放量大涨.！！！大蓝筹涨幅很大！ 

03.31(周五) 9157万   1009.85亿 3434.82  3456.04  3456.30  3430.82  +0.56% -1.52亿  +0.25亿  微幅低开震荡收涨. 

03.30(周四) 1.16亿   1220.88亿 3461.61  3436.76  3467.30  3422.37  -0.82% +11.1亿  +1.57亿  微幅低开震荡收跌. 

03.29(周三) 1.05亿   1146.63亿 3472.97  3465.19  3483.06  3455.55  -0.13% +2.23亿  +1.08亿  微幅高开震荡收跌. 

2017.03.28(周二) 8419万   974.96亿  3480.25  3469.81  3482.29  3461.47  -0.24% +6.50亿  +2.91亿  微幅高开震荡收跌. 

2017.03.27(周一) 1.07亿   1243.88亿 3488.76  3478.04  3505.98  3474.52  -0.33% -1.13亿  +4.90亿  平开震荡收跌. 

2017.03.24(周五) 1.26亿   1417.53亿 3464.20  3489.60  3499.32  3461.11  +0.80% +11.3亿  +6.92亿  微幅高开震荡收涨. 

2017.03.23(周四) 9431万   1158.14亿 3452.41  3461.98  3470.82  3435.69  +8.23亿  +9.80亿  微幅高开震荡微涨. 

2017.03.22(周三) 1.05亿   1238.66亿 3450.75  3450.05  3464.33  3433.50  +0.12亿  +6.41亿  低开震荡收跌. 

2017.03.21(周二) 8770万   1135.28亿 3449.77  3466.35  3466.70  3445.64  +8.45亿  +1.48亿  平开震荡收涨. 

2017.03.20(周一) 8873万   1037.69亿 3449.05  3449.61  3454.06  3429.82  +15.2亿  +2.59亿  微幅高开震荡微涨. 

2017.03.17(周五) 1.04亿   1223.69亿 3485.31  3445.80  3488.50  3441.47  +11.0亿  +2.44亿  微幅高开震荡收跌. 正常盘整, 没有破位.

2017.03.16(周四) 1.06亿   1246.96亿 3472.27  3481.51  3492.13  3472.27  +12.9亿  +6.23亿  高开震荡收涨.

2017.03.15(周三) 7910万   940.56亿  3452.21  3463.64  3463.92  3445.27  -2.86亿  +7.57亿  低开震荡微涨.

2017.03.14(周二) 7707万   953.18亿  3456.66  3456.69  3465.39  3448.90  -8.38亿  -0.49亿  低开震荡微跌. 周三美联储加息大概率

2017.03.13(周一) 9168万   1084.89亿 3425.67  3458.10  3458.10  3412.69  -0.72亿  +9.45亿  低开震荡收涨. 沪股通资金持续流出.  

2017.03.10(周五) 7001万   821.62亿  3423.98  3427.89  3436.24  3423.94  -16.1亿  +8.81亿  低开震荡微涨. 沪股通资金持续流出.  

2017.03.09(周四) 8457万   900.90亿  3442.90  3426.94  3443.04  3414.68  -20.7亿  +2.77亿  高开震荡收跌.  

2017.03.08(周三) 7958万   891.25亿  3452.20  3448.73  3457.03  3441.26  -2.68亿  +4.77亿  低开震荡微跌.  

2017.03.07(周二) 8033万   944.84亿  3446.16  3453.96  3454.04  3440.06  -3.57亿  +8.08亿  平开震荡微涨.今天中小创强势, 沪深300其实是跌的, 银行普涨拉指数。 

2017.03.06(周一) 8307万   951.79亿   3427.25  3446.48  3449.03  3425.90  -2.43亿  +6.79亿  平开震荡收涨.今天中小创大涨, 沪深300仅仅是跟涨。。。 

2017.03.03(周五) 8099万   900.10亿   3424.66  3427.86  3428.88  3412.83  -2.94亿  +5.38亿  低开震荡微跌. 

2017.03.02(周四) 8989万    978.76亿   3463.48  3435.10  3468.47  3434.00  -0.99亿  +6.07亿  高开震荡收跌. 两会第一天

--------------------------- 000300 --------------

2017.03.01(周三) 000300  1.03亿    1093.18亿   3452.21   3458.44    3472.70   3449.11   +5.59亿  +7.04亿   震荡微涨. 量能放大.  几乎所有股票都是微涨.

2017.02.28(周二)   000300   7521万      819.79亿     3445.03   3452.81    3460.91    3441.36   -0.54亿  +3.39亿   震荡微涨.缩量

2017.02.27(周一)   000300   9867万      1068.31亿    3471.13   3446.22    3472.83    3441.39   +1.29亿  +3.90亿   低开震荡收跌.处罚了宝能，恒大等一批

2017.02.24(周五)   000300   9553万      998.75亿     3468.96   3473.85    3473.85    3455.25   +3.63亿  +5.71亿   低开震荡微涨(0.02%...).. 

2017.02.23(周四)   000300   9953万      1065.56亿    3487.57   3473.32    3492.96    3460.12   +4.51亿  +10.9亿   震荡收跌.. 

2017.02.22(周三)   000300   1.03亿      1092.32亿    3483.20   3489.76    3489.95    3473.52   +4.29亿  +7.94亿   平开震荡微涨.. 

2017.02.21(周二)   000300   1.15亿      1206.75亿    3475.06   3482.82    3490.08    3472.02   +6.12亿  +8.51亿   高开震荡微涨.. 今日中小创普涨.

2017.02.20(周一)   000300   1.33亿      1346.82亿    3421.64   3471.39    3472.60    3421.64   +13.1亿  +6.81亿   平开震荡攀升大涨.

2017.02.17(周五)   000300   1.15亿      1180.33亿    3443.62   3421.44    3457.56    3419.61   +2.37亿  +10.8亿   冲高震荡下跌, 收跌. 

2017.02.16(周四)   000300   1.08亿      1018.10亿    3421.83   3440.93    3440.93    3418.35   +11.5亿  +8.63亿   震荡放缓, 收涨. 

2017.02.15(周三)   000300   1.28亿      1246.53亿    3435.39   3421.71    3448.03    3417.08   +19.2亿  +5.25亿   震荡放缓, 收跌,. 

2017.02.15(周三)   000300   1.28亿      1246.53亿    3435.39   3421.71    3448.03    3417.08   +19.2亿  +5.25亿   震荡放缓, 收跌,. 

2017.02.14(周二)   000300   9480万      985.37亿     3438.51   3435.80    3440.67    3424.40   +8.97亿  +5.63亿   震荡放缓, 微跌, -0.01%. 

2017.02.13(周一)   000300   1.20亿      1253.33亿    3416.92   3436.27    3439.54    3416.87   +13.0亿  +5.08亿   震荡放缓, 收涨. 

2017.02.10(周五)   000300   1.24亿      1219.09亿    3398.32   3413.49    3422.32    3398.03   +11.2亿  +6.41亿   震荡放缓, 收涨. 受国企改革概念影响.

2017.02.09(周四)   000300   9755万      1021.34亿    3381.90   3396.29    3406.59    3379.79   +17.7亿  +2.67亿   量能放大, 上涨. 普涨.

2017.02.08(周三)   000300   7540万      828.70亿     3361.78   3383.29    3383.69    3347.43   +5.61亿  +7.76亿   量能放大, 上涨. 普涨.

2017.02.07(周二)   000300   6375万      697.58亿     3371.77   3365.68    3376.71    3354.63   +11.2亿  +6.69亿   震荡微跌.

2017.02.06(周一)   000300   6852万      734.08亿     3368.11   3373.21    3381.33    3358.75   +2.15亿  +7.40亿   震荡微涨.

2017.02.03(周五)   000300   5518万      571.14亿     3390.93   3364.49    3392.48    3362.56   +6.88亿  +7.16亿   震荡下跌.

2017.01.26(周四)   000300   6531万      664.89亿     3378.21   3387.96    3395.88    3378.26   +4.82亿  +4.84亿   震荡微涨.

2017.01.25(周三)   000300   5837万      624.83亿     3361.66   3375.90    3376.44    3357.22   -0.11亿  +2.91亿   震荡微涨.

2017.01.24(周二)   000300   6619万      660.50亿     3363.14   3364.45    3371.32    3355.90   +7.35亿  +7.07亿   震荡减弱, 微涨.

2017.01.23(周一)   000300   7555万      764.93亿     3359.05   3364.08    3378.74    3355.85   +7.20亿  +7.64亿   震荡减弱. 冲高回落微涨.

2017.01.20(周五)   000300   6530万      708.31亿     3326.98   3354.89    3358.41    3326.37   +9.24亿  +8.43亿   上涨. 量能不够, 弱.

2017.01.19(周四)   000300   6615万      638.70亿     3330.95   3329.29    3346.50    3324.68   +3.33亿  +8.09亿   震荡减弱. 微跌.

2017.01.18(周三)   000300   7062万      756.81亿     3323.34   3339.36    3350.96    3320.41   +8.61亿  +6.15亿   震荡减弱. 微涨.

2017.01.17(周二)   000300   6945万      747.55亿     3305.60   3326.36    3327.38    3292.20   +6.64亿  +5.84亿   大幅缩量震荡微涨.

2017.01.16(周一)   000300   1.58亿      1532.63亿    3314.15   3319.45    3322.78    3264.21   -12.7亿  +5.59亿   巨量暴跌尾盘神奇反弹. 国家队出手了.

2017.01.13(周五)   000300   8418万      845.56亿     3317.96   3319.91    3338.17    3309.37   +6.34亿  +6.21亿   震荡微涨. 底部十字星, 很弱 

2017.01.12(周四)   000300   8123万      750.32亿     3332.69   3317.62    3343.13    3315.96   +6.92亿  +6.02亿   震荡收跌. 很弱 

2017.01.11(周三)   000300   9107万      867.50亿     3355.80   3334.50    3366.63    3334.30   +8.46亿  +9.23亿   震荡减弱, 收跌. 

2017.01.10(周二)   000300   8381万      825.34亿     3361.64   3358.27    3370.50    3354.09   -5.66亿  +9.53亿   震荡减弱, 微跌. 

2017.01.09(周一)   000300   8370万      879.16亿     3345.75   3363.90    3366.22    3344.35   -8.47亿  +8.86亿   震荡减弱, 收涨. 

2017.01.06(周五)   000300   8745万      910.72亿     3366.85   3347.67    3368.87    3346.89   -21.0亿  +6.44亿   震荡减弱, 收跌. 

2017.01.05(周四)   000300   8833万      911.89亿     3368.34   3367.79    3373.41    3361.46   -9.12亿  +6.33亿   震荡减弱, 微跌. 消化获利盘.

2017.01.04(周三)   000300   9005万      980.14亿     3340.56   3368.31    3369.56    3338.15   -13.5亿  +6.30亿   量能稍放大. 收涨. 三红兵.

2017.01.03(周二)   000300   8656万      876.13亿     3313.95   3342.23    3345.26    3313.95   -5.82亿  +6.15亿   震荡大涨. 二八行情.银行涨.

2016.12.30(周五)   000300   7174万      769.21亿     3302.60   3310.08    3313.55    3295.75   -2.00亿  +3.00亿   震荡微涨. 很弱

2016.12.29(周四)   000300   7008万      759.73亿     3297.04   3297.76    3312.11    3288.09   -3.25亿  +3.49亿   震荡微跌. 很弱

2016.12.28(周三)   000300   6900万      717.60亿     3315.75   3301.89    3320.55    3293.17   -7.85亿  +3.85亿   缩量震荡收跌. 很弱

2016.12.27(周二)   000300   7548万      796.17亿     3319.21   3316.39    3330.23    3315.83   -----亿  +3.90亿   缩量震荡微跌. 港股圣诞节放假

2016.12.26(周一)   000300   8979万      994.93亿     3293.22   3322.40    3322.42    3267.05   -----亿  +3.90亿   探底反弹收涨.股指期货松绑消息.高价股

2016.12.23(周五)   000300   9744万      995.75亿     3333.40   3307.60    3334.89    3300.88   -----亿  +3.90亿   震荡大跌. 很弱

2016.12.22(周四)   000300   9227万      925.65亿     3335.12   3335.67    3340.36    3322.72   -8.49亿  +3.90亿   震荡减弱.微跌.寻找方向.

2016.12.21(周三)   000300   1.08亿      1062.05亿    3313.75   3338.54    3342.48    3313.75   -1.51亿  +3.66亿   量能放大.震荡减弱.二强八弱.寻找方向.

2016.12.20(周二)   000300   8756万      885.27亿     3328.30   3309.06    3329.10    3289.27   -26.4亿  +1.70亿   缩量震荡收跌. 沪股通资金大幅流出

2016.12.19(周一)   000300   8164万      860.96亿     3342.34   3328.98    3344.86    3325.00   -9.82亿  +4.82亿   缩量震荡收跌. 消化黑色星期一大跌

2016.12.16(周五)   000300   9077万      981.12亿     3335.36   3346.03    3356.29    3330.49   +3.58亿  +9.33亿   缩量震荡微涨. 八二转换.

2016.12.15(周四)   000300   1.15亿      1215.08亿    3363.86   3340.43    3378.04    3327.14   -1.95亿  +7.59亿   震荡收跌.美加息落地.0.25% 利空

2016.12.14(周三)   000300   1.24亿      1261.83亿    3399.41   3378.95    3412.28    3378.26   +1.26亿  +8.74亿   震荡收跌. 等美加息

2016.12.13(周二)   000300   1.21亿      1244.54亿    3394.21   3405.03    3416.21    3370.59   +4.93亿  +12.5亿   探低反弹微跌. 等美加息落地. 船舶,白酒

2016.12.12(周一)   000300   1.87亿      1991.64亿    3489.27   3409.18    3495.80    3400.79   -1.17亿  +12.3亿   放量暴跌. 黑色星期一.

2016.12.09(周五)   000300   1.50亿      1526.75亿    3464.87   3493.70    3507.93    3461.76   -2.23亿  +4.23亿   放量震荡上涨.银行,白酒上涨. 差一点补缺口.

2016.12.08(周四)   000300   1.17亿      1191.89亿    3481.81   3470.14    3484.34    3466.51   +6.46亿  +17.1亿   震荡微跌. 调整. 银行,白酒上涨.

2016.12.07(周三)   000300   1.14亿      1152.82亿    3458.34   3475.75    3475.75    3445.76   +2.16亿  +17.8亿   缩量上涨.

2016.12.06(周二)   000300   1.16亿      1257.28亿    3466.24   3459.15    3477.59    3456.81   -3.97亿  +19.4亿   大幅缩量, 震荡微跌.

2016.12.05(周一)   000300   1.81亿      1901.75亿    3473.69   3469.41    3496.88    3457.34   -13.9亿  +27.1亿   低开大跌. 刘士余引发。缺口

2016.12.02(周五)   000300   1.96亿      2037.42亿    3559.77   3528.95    3562.55    3516.79   -14.4亿            震荡大跌. 深港通开通前一个交易日

2016.12.01(周四)   000300   1.80亿      1996.38亿    3543.96   3565.04    3575.97    3543.25   +10.5亿            震荡微涨. 前海系举牌格力.大象起舞.

2016.11.30(周三)   沪深300(000300) 1.79亿       1906.81亿      3557.64   3538.00    3567.07    3527.02   +11.7亿  量能回落. 八二行情.期市黑色系跌停潮.

2016.11.29(周二)   沪深300(000300) 2.37亿       2483.23亿      3525.90   3564.04    3583.72    3521.38   +10.9亿  放量冲高回落大涨. 二八行情.创新高.

2016.11.28(周一)   沪深300(000300) 2.07亿       2198.60亿      3538.68   3535.08    3553.36    3528.32   +14.7亿  放量冲高回落收涨. 强势.

2016.11.25(周五)   沪深300(000300) 1.54亿       1668.32亿      3490.04   3521.30    3521.30    3463.95   +17.7亿  探底反弹收涨. 光头, 强势. 创新高

2016.11.24(周四)   沪深300(000300) 1.46亿       1650.71亿      3468.81   3488.74    3508.16    3467.01   +9.32亿  冲高回落微涨. 创新高.

2016.11.23(周三)   沪深300(000300) 1.62亿       1712.47亿      3473.89   3474.73    3492.96    3465.76   +11.6亿  放量冲高回落微涨. 创新高.

2016.11.22(周二)   沪深300(000300) 1.69亿       1672.51亿      3443.22   3468.36    3469.22    3443.22   +13.8亿  放量上涨. 创新高. 光头.

2016.11.21(周一)   沪深300(000300) 1.46亿       1475.43亿      3412.65   3441.11    3463.14    3412.08   +1.76亿  放量大涨. 创新高.

2016.11.18(周五)   沪深300(000300) 1.16亿       1173.46亿      3437.49   3417.46    3443.12    3413.27   -0.24亿  量能回落. 震荡微跌.

2016.11.17(周四)   沪深300(000300) 1.22亿       1215.77亿      3423.47   3436.53    3437.67    3412.88   +0.27亿  量能回落. 震荡微涨.

2016.11.16(周三)   沪深300(000300) 1.30亿       1289.45亿      3432.43   3429.59    3435.64    3419.24   +7.98亿  量能回落. 震荡微跌.

2016.11.15(周二)   沪深300(000300) 1.35亿       1352.07亿      3428.87   3429.87    3434.92    3415.99   +0.58亿  量能大幅回落. 震荡微跌.

2016.11.14(周一)   沪深300(000300) 2.13亿       2083.53亿      3409.22   3430.25    3452.61    3408.14   -1.13亿  量能继续放大.冲高回落震荡上涨.

2016.11.11(周五)   沪深300(000300) 1.99亿       1906.47亿      3387.95   3417.22    3422.67    3382.89   -5.84亿  放量. 上涨.

